Price,Close,High,Low,Open,Volume
Ticker,BBCA.JK,BBCA.JK,BBCA.JK,BBCA.JK,BBCA.JK
Date,,,,,
2015-01-02,2171.209716796875,2179.4184491855212,2158.896618213906,2179.4184491855212,29302500
2015-01-05,2167.10546875,2167.10546875,2154.792369495739,2158.896735913826,25434500
2015-01-06,2150.68798828125,2167.105453840649,2134.270522721851,2134.270522721851,48681500
2015-01-07,2154.79248046875,2167.1055803571426,2142.479380580357,2142.479380580357,40334000
2015-01-08,2130.165771484375,2158.8963310227,2130.165771484375,2154.7919653743675,54457000
2015-01-09,2121.957763671875,2146.5839659582025,2121.957763671875,2138.37523186276,108957500
2015-01-12,2134.27099609375,2134.27099609375,2101.4360576923077,2121.957894193209,81651000
2015-01-13,2134.27099609375,2142.4797306941105,2130.1666287935695,2142.4797306941105,36024000
2015-01-14,2121.957763671875,2138.37523186276,2121.957763671875,2138.37523186276,29728000
2015-01-15,2126.0615234375,2142.478986938948,2126.0615234375,2126.0615234375,27580500
2015-01-16,2126.0615234375,2138.374621063586,2126.0615234375,2138.374621063586,46354500
2015-01-19,2134.27099609375,2138.37536339393,2130.1666287935695,2130.1666287935695,26134500
2015-01-20,2138.374267578125,2142.478632775012,2121.956806790577,2130.165537184351,36285500
2015-01-21,2146.58349609375,2167.1053268403443,2138.3747637951124,2142.4791299444314,73258000
2015-01-22,2167.10546875,2171.2098351680875,2142.4792702414775,2142.4792702414775,58654000
2015-01-23,2187.62744140625,2199.9405414516887,2171.2099746789986,2171.2099746789986,121011000
2015-01-26,2158.896484375,2199.9401437737642,2138.374654675618,2187.627045954135,103089000
2015-01-27,2167.10546875,2171.2098351680875,2154.792369495739,2158.896735913826,49988500
2015-01-28,2179.41845703125,2187.6271894494466,2158.896625985758,2163.0009921948563,48230000
2015-01-29,2187.62744140625,2187.62744140625,2167.1056079971854,2175.3143413608113,41599500
2015-01-30,2195.8359375,2204.0446699766353,2187.6272050233647,2199.9403037383177,94142500
2015-02-02,2191.731201171875,2195.835566717141,2175.3137389908125,2191.731201171875,38816500
2015-02-03,2216.358154296875,2216.358154296875,2191.731952582465,2195.836319534867,67046500
2015-02-04,2282.027587890625,2298.4450525517086,2212.25336308102,2220.4620954115617,136306000
2015-02-05,2249.192626953125,2286.1319219213333,2195.835867554602,2282.0275558137546,83923500
2015-02-06,2249.192626953125,2265.61009138344,2240.9838947379676,2261.505725275861,54060500
2015-02-09,2265.60986328125,2282.0273260586505,2216.357474949049,2216.357474949049,68609000
2015-02-10,2257.4013671875,2282.0275639204547,2240.983902698864,2277.9231977982954,50540500
2015-02-11,2286.13232421875,2286.13232421875,2249.1930227502244,2261.506123239733,46471500
2015-02-12,2282.027587890625,2290.236320221167,2273.818855560083,2286.131954055896,58455500
2015-02-13,2302.549072265625,2339.4883621950203,2294.340341170204,2298.4447067179144,90653500
2015-02-16,2298.445068359375,2327.175631713867,2298.445068359375,2306.653800746373,30501000
2015-02-17,2310.758056640625,2318.966788635796,2298.4449586478686,2298.4449586478686,47945000
2015-02-18,2310.758056640625,2388.7410105947492,2298.4449586478686,2331.2798866285525,57782000
2015-02-20,2306.654052734375,2351.8020857950123,2306.654052734375,2347.697719153136,25162000
2015-02-23,2302.549072265625,2335.3839966473097,2294.340341170204,2310.757803361046,55871500
2015-02-24,2306.654052734375,2310.758419376251,2286.1322195249945,2306.654052734375,46482000
2015-02-25,2314.8623046875,2327.175402052859,2298.444841533688,2298.444841533688,39573000
2015-02-26,2310.758056640625,2327.1755206309667,2294.3405926502833,2294.3405926502833,63400500
2015-02-27,2314.8623046875,2323.0710362644063,2298.444841533688,2298.444841533688,91257500
2015-03-02,2335.384521484375,2347.6976208946617,2314.862689133897,2323.0714220740883,105783500
2015-03-03,2364.114990234375,2392.8455543518066,2351.8018913269043,2355.9062576293945,100166000
2015-03-04,2368.219482421875,2392.845681545846,2360.0107493805513,2380.5325819838604,61321500
2015-03-05,2380.5322265625,2405.1584220096984,2376.4278606546336,2380.5322265625,63347500
2015-03-06,2396.94970703125,2409.2628048413417,2380.5322432844605,2380.5322432844605,84722000
2015-03-09,2360.010498046875,2376.4279623811144,2314.8624711277175,2364.114864130435,75837500
2015-03-10,2368.219482421875,2384.6369485045225,2339.488916777242,2364.1151159012134,56405500
2015-03-11,2343.593505859375,2360.010973501122,2335.3847720385015,2339.489138948938,86270500
2015-03-12,2331.27978515625,2343.592882613061,2323.0710535183757,2335.384150975187,57496500
2015-03-13,2314.8623046875,2343.5928652066714,2306.653573110594,2331.279767841312,79901500
